Rank,Title,Year,Rating,Duration
68,The Great Dictator,1940,8.4 (236K),2h 5m
69,Aliens,1986,8.4 (758K),2h 17m
70,Inglourious Basterds,2009,8.4 (1.6M),2h 33m
71,The Dark Knight Rises,2012,8.4 (1.8M),2h 44m
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4 (516K),1h 35m
73,American Beauty,1999,8.3 (1.2M),2h 2m
74,Oldboy,2003,8.3 (631K),2h
75,Coco,2017,8.4 (584K),1h 45m
76,Amadeus,1984,8.4 (425K),2h 40m
77,Toy Story,1995,8.3 (1.1M),1h 21m
78,The Boat,1981,8.4 (263K),2h 29m
79,Braveheart,1995,8.3 (1.1M),2h 58m
80,Avengers: Endgame,2019,8.4 (1.3M),3h 1m
81,Joker,2019,8.4 (1.5M),2h 2m
82,Princess Mononoke,1997,8.3 (430K),2h 14m
83,Good Will Hunting,1997,8.3 (1.1M),2h 6m
84,Your Name.,2016,8.4 (315K),1h 46m
85,Once Upon a Time in America,1984,8.3 (375K),3h 49m
86,Oppenheimer,2023,8.4 (669K),3h
87,High and Low,1963,8.4 (52K),2h 23m
88,3 Idiots,2009,8.4 (431K),2h 50m
89,Singin' in the Rain,1952,8.3 (259K),1h 43m
90,Capernaum,2018,8.4 (104K),2h 6m
91,Requiem for a Dream,2000,8.3 (894K),1h 42m
92,Come and See,1985,8.4 (95K),2h 22m
93,Toy Story 3,2010,8.3 (888K),1h 43m
94,Star Wars: Episode VI - Return of the Jedi,1983,8.3 (1.1M),2h 11m
95,Eternal Sunshine of the Spotless Mind,2004,8.3 (1.1M),1h 48m
96,The Hunt,2012,8.3 (361K),1h 55m
97,2001: A Space Odyssey,1968,8.3 (715K),2h 29m
98,Reservoir Dogs,1992,8.3 (1.1M),1h 39m
99,Ikiru,1952,8.3 (87K),2h 23m
100,Lawrence of Arabia,1962,8.3 (312K),3h 38m
101,The Apartment,1960,8.3 (195K),2h 5m
102,North by Northwest,1959,8.3 (344K),2h 16m
103,Citizen Kane,1941,8.3 (464K),1h 59m
104,M,1931,8.3 (168K),1h 39m
105,Vertigo,1958,8.3 (425K),2h 8m
106,Double Indemnity,1944,8.3 (167K),1h 47m
107,Incendies,2010,8.3 (197K),2h 11m
108,Scarface,1983,8.3 (910K),2h 50m
109,Amélie,2001,8.3 (791K),2h 2m
110,Full Metal Jacket,1987,8.3 (786K),1h 56m
111,A Clockwork Orange,1971,8.3 (877K),2h 16m
112,Heat,1995,8.3 (714K),2h 50m
113,Up,2009,8.3 (1.1M),1h 36m
114,To Kill a Mockingbird,1962,8.3 (331K),2h 9m
115,The Sting,1973,8.3 (278K),2h 9m
116,A Separation,2011,8.3 (257K),2h 3m
117,Indiana Jones and the Last Crusade,1989,8.2 (807K),2h 7m
118,Die Hard,1988,8.2 (940K),2h 12m
119,Metropolis,1927,8.3 (184K),2h 33m
120,Hamilton,2020,8.3 (112K),2h 40m
121,Like Stars on Earth,2007,8.3 (206K),2h 42m
122,Snatch,2000,8.2 (905K),1h 42m
123,L.A. Confidential,1997,8.2 (615K),2h 18m
124,Bicycle Thieves,1948,8.3 (174K),1h 29m
125,1917,2019,8.2 (668K),1h 59m
126,Taxi Driver,1976,8.2 (914K),1h 54m
127,Downfall,2004,8.2 (373K),2h 36m
128,Dangal,2016,8.3 (209K),2h 41m
129,For a Few Dollars More,1965,8.2 (273K),2h 12m
130,Batman Begins,2005,8.2 (1.6M),2h 20m
131,The Wolf of Wall Street,2013,8.2 (1.6M),3h
132,Some Like It Hot,1959,8.2 (282K),2h 1m
133,The Kid,1921,8.2 (134K),1h 8m
134,Green Book,2018,8.2 (562K),2h 10m
135,The Father,2020,8.2 (190K),1h 37m
136,Top Gun: Maverick,2022,8.2 (682K),2h 10m
137,Judgment at Nuremberg,1961,8.3 (85K),2h 59m
138,All About Eve,1950,8.2 (138K),2h 18m
139,The Truman Show,1998,8.2 (1.2M),1h 43m
140,There Will Be Blood,2007,8.2 (637K),2h 38m
141,Shutter Island,2010,8.2 (1.4M),2h 18m
142,Casino,1995,8.2 (560K),2h 58m
143,Ran,1985,8.2 (135K),2h 40m
144,Jurassic Park,1993,8.2 (1.1M),2h 7m
145,The Sixth Sense,1999,8.2 (1M),1h 47m
146,Pan's Labyrinth,2006,8.2 (700K),1h 58m
147,Unforgiven,1992,8.2 (434K),2h 10m
148,A Beautiful Mind,2001,8.2 (982K),2h 15m
149,No Country for Old Men,2007,8.2 (1.1M),2h 2m
150,The Thing,1982,8.2 (463K),1h 49m
151,The Treasure of the Sierra Madre,1948,8.2 (132K),2h 6m
152,Kill Bill: Vol. 1,2003,8.2 (1.2M),1h 51m
153,Yojimbo,1961,8.2 (131K),1h 50m
154,Monty Python and the Holy Grail,1975,8.2 (568K),1h 31m
155,The Great Escape,1963,8.2 (258K),2h 52m
156,Finding Nemo,2003,8.2 (1.1M),1h 40m
157,Rashomon,1950,8.2 (179K),1h 28m
158,Howl's Moving Castle,2004,8.2 (444K),1h 59m
159,Prisoners,2013,8.1 (801K),2h 33m
160,The Elephant Man,1980,8.2 (257K),2h 4m
161,Chinatown,1974,8.1 (348K),2h 10m
162,Dial M for Murder,1954,8.2 (188K),1h 45m
163,Gone with the Wind,1939,8.2 (333K),3h 58m
164,V for Vendetta,2005,8.2 (1.2M),2h 12m
165,"Lock, Stock and Two Smoking Barrels",1998,8.1 (613K),1h 47m
166,The Secret in Their Eyes,2009,8.2 (221K),2h 9m
167,Raging Bull,1980,8.1 (378K),2h 9m
168,Inside Out,2015,8.1 (779K),1h 35m
169,"Three Billboards Outside Ebbing, Missouri",2017,8.1 (551K),1h 55m
170,Trainspotting,1996,8.1 (722K),1h 33m
171,The Bridge on the River Kwai,1957,8.1 (232K),2h 41m
172,Spider-Man: No Way Home,2021,8.2 (869K),2h 28m
173,Fargo,1996,8.1 (722K),1h 38m
174,Klaus,2019,8.2 (188K),1h 36m
175,Warrior,2011,8.1 (496K),2h 20m
176,Catch Me If You Can,2002,8.1 (1.1M),2h 21m
177,Godzilla Minus One,2023,8.3 (45K),2h 4m
178,Gran Torino,2008,8.1 (812K),1h 56m
179,My Neighbor Totoro,1988,8.1 (376K),1h 26m
180,Million Dollar Baby,2004,8.1 (718K),2h 12m
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1 (942K),2h 10m
182,Children of Heaven,1997,8.2 (80K),1h 29m
183,12 Years a Slave,2013,8.1 (738K),2h 14m
184,Blade Runner,1982,8.1 (818K),1h 57m
185,Before Sunrise,1995,8.1 (337K),1h 41m
186,The Grand Budapest Hotel,2014,8.1 (881K),1h 39m
187,Ben-Hur,1959,8.1 (252K),3h 32m
188,Barry Lyndon,1975,8.1 (182K),3h 5m
189,Gone Girl,2014,8.1 (1.1M),2h 29m
190,The Gold Rush,1925,8.1 (118K),1h 35m
191,Hacksaw Ridge,2016,8.1 (588K),2h 19m
192,In the Name of the Father,1993,8.1 (186K),2h 13m
193,Memories of Murder,2003,8.1 (214K),2h 12m
194,Dead Poets Society,1989,8.1 (541K),2h 8m
195,On the Waterfront,1954,8.1 (164K),1h 48m
196,The General,1926,8.1 (98K),1h 18m
197,The Deer Hunter,1978,8.1 (360K),3h 3m
198,Wild Tales,2014,8.1 (215K),2h 2m
199,Mad Max: Fury Road,2015,8.1 (1.1M),2h
200,Sherlock Jr.,1924,8.2 (56K),45m
201,"Monsters, Inc.",2001,8.1 (973K),1h 32m
202,The Third Man,1949,8.1 (181K),1h 33m
203,Wild Strawberries,1957,8.1 (114K),1h 31m
204,Poor Things,2023,8.1 (152K),2h 21m
205,The Wages of Fear,1953,8.2 (66K),2h 11m
206,Jaws,1975,8.1 (655K),2h 4m
207,How to Train Your Dragon,2010,8.1 (795K),1h 38m
208,Mary and Max,2009,8.1 (186K),1h 32m
209,Mr. Smith Goes to Washington,1939,8.1 (121K),2h 9m
210,Ford v Ferrari,2019,8.1 (460K),2h 32m
211,Ratatouille,2007,8.1 (817K),1h 51m
212,The Seventh Seal,1957,8.1 (197K),1h 36m
213,Room,2015,8.1 (448K),1h 58m
214,Tokyo Story,1953,8.1 (68K),2h 16m
215,The Big Lebowski,1998,8.1 (856K),1h 57m
216,Rocky,1976,8.1 (625K),2h
217,Logan,2017,8.1 (825K),2h 17m
218,Spotlight,2015,8.1 (500K),2h 9m
219,Hotel Rwanda,2004,8.1 (371K),2h 1m
220,Platoon,1986,8.1 (437K),2h
221,The Terminator,1984,8.1 (919K),1h 47m
222,The Passion of Joan of Arc,1928,8.1 (60K),1h 54m
223,Before Sunset,2004,8.1 (286K),1h 20m
224,The Best Years of Our Lives,1946,8.1 (70K),2h 50m
225,La haine,1995,8.1 (194K),1h 38m
226,Jai Bhim,2021,8.7 (216K),2h 44m
227,The Exorcist,1973,8.1 (452K),2h 2m
228,Rush,2013,8.1 (510K),2h 3m
229,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.2M),2h 23m
230,Network,1976,8.1 (170K),2h 1m
231,Stand by Me,1986,8.1 (439K),1h 29m
232,The Wizard of Oz,1939,8.1 (426K),1h 42m
233,The Incredibles,2004,8.0 (803K),1h 55m
234,Hachi: A Dog's Tale,2009,8.1 (309K),1h 33m
235,Into the Wild,2007,8.1 (655K),2h 28m
236,The Handmaiden,2016,8.1 (171K),2h 25m
237,My Father and My Son,2005,8.2 (92K),1h 52m
238,To Be or Not to Be,1942,8.1 (43K),1h 39m
239,The Sound of Music,1965,8.1 (259K),2h 52m
240,The Grapes of Wrath,1940,8.1 (99K),2h 9m
241,The Battle of Algiers,1966,8.1 (65K),2h 1m
242,Groundhog Day,1993,8.0 (681K),1h 41m
243,Amores Perros,2000,8.1 (252K),2h 34m
244,Rebecca,1940,8.1 (146K),2h 10m
245,Cool Hand Luke,1967,8.1 (188K),2h 7m
246,The Iron Giant,1999,8.1 (225K),1h 26m
247,The Help,2011,8.1 (490K),2h 26m
248,It Happened One Night,1934,8.1 (112K),1h 45m
249,The 400 Blows,1959,8.1 (127K),1h 39m
250,Dances with Wolves,1990,8.0 (289K),3h 1m
